FIPS,NAME,QNAME,STATE,Geo_SUMLEV,Geo_LOGRECNO,REGION,DIVISION,STATEFIPS,Geo_CBSA,CBSA_Sizecode,CSA,Geo_AREALAND,Geo_AREAWATR,HousUnit,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_STATENS,Geo_CSASC,Geo_MEMI,TotPop,White,Black,AIAN,Asian,NHPI,Latinx,NatB,FB
3710620,"Albemarle, NC Micro Area","Albemarle, North Carolina",NC,320,360000,3,5,37,10620,17,172,1023267267,25262146,27110,35.3203118,-80.2443399,M2,W,1027616,21,2,60585,49877,6590,175,1108,10,2166,58744,1745
3711700,"Asheville, NC Metro Area","Asheville, North Carolina",NC,320,360003,3,5,37,11700,19,120,5265449402,21840719,213637,35.5441049,-82.6255859,M1,W,1027616,19,1,424858,366448,18976,1409,3664,452,27100,401283,23936
3714380,"Boone, NC Micro Area","Boone, North Carolina",NC,320,360009,3,5,37,14380,17,999,809515805,2322130,32137,36.216501,-81.7014399,M2,W,1027616,0,2,51079,47268,855,117,467,13,1713,49339,1764
3714820,"Brevard, NC Micro Area","Brevard, North Carolina",NC,320,360012,3,5,37,14820,16,120,980383414,5140678,19163,35.2025244,-82.7553297,M2,W,1027616,19,2,33090,30049,1279,93,143,8,964,31968,857
3715500,"Burlington, NC Metro Area","Burlington, North Carolina",NC,320,360015,3,5,37,15500,18,268,1098007863,27957457,66576,36.0705494,-79.4127235,M1,W,1027616,21,1,151131,101718,27985,542,1806,55,16639,140141,11029
3716740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part)","Charlotte-Gastonia-Rock Hill, North Carolina",NC,320,360018,3,5,37,16740,21,172,6227860262,120448948,643579,35.2200864,-80.775473,M1,P,1027616,21,1,1531965,911650,371876,4800,51437,684,162691,1368984,170892
3720380,"Dunn, NC Micro Area","Dunn, North Carolina",NC,320,360027,3,5,37,20380,18,450,1541008895,16360689,46731,35.363448,-78.7750328,M2,W,1027616,21,2,114678,73707,23591,991,983,126,12359,108769,6790
3720500,"Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, North Carolina",NC,320,360030,3,5,37,20500,20,450,4554338615,141837700,222760,36.0054283,-79.0258028,M1,W,1027616,21,1,504357,278907,134853,1512,21985,189,56915,443547,62912
3721020,"Elizabeth City, NC Micro Area","Elizabeth City, North Carolina",NC,320,360037,3,5,37,21020,17,999,1850612218,554494518,27923,36.2782935,-76.295212,M2,W,1027616,0,2,64094,40080,19883,195,630,20,2143,62103,1827
3722180,"Fayetteville, NC Metro Area","Fayetteville, North Carolina",NC,320,360042,3,5,37,22180,19,999,2701509819,19695445,153735,35.0459684,-78.9776991,M1,W,1027616,0,1,366383,169891,129331,8968,7352,1202,36013,345796,20901
3722580,"Forest City, NC Micro Area","Forest City, North Carolina",NC,320,360046,3,5,37,22580,17,999,1461144059,4399859,33878,35.3658564,-81.9204774,M2,W,1027616,0,2,67810,57054,6804,156,289,5,2397,65694,1752
3724140,"Goldsboro, NC Metro Area","Goldsboro, North Carolina",NC,320,360049,3,5,37,24140,18,999,1432488557,9752596,52949,35.3672318,-77.9933063,M1,W,1027616,0,1,122623,68216,38107,333,1405,47,12162,114150,8269
